-100,-100,0,-0.00371455,8.46966E-05,-5.93898E-07,1.29333E-09,-0.00494775,0.000146668,-1.23626E-06,3.14486E-09,167.235,58.7515,55.639
-100,-100,30,-0.00308174,5.78848E-05,-0.000000328,5.79967E-10,0.00144012,-1.55865E-05,7.64744E-08,-1.46868E-10,100.121,85.3738,235.441
-100,-100,60,-0.00408106,0.000100854,-7.26116E-07,1.58804E-09,0.00112365,-4.69182E-05,4.17743E-07,-0.000000001,70.9519,54.4479,130.213
-100,-100,90,0.00276492,-4.71881E-05,2.48728E-07,-3.77849E-10,-0.00342281,0.000105098,-8.7319E-07,2.1471E-09,168,50.3356,138.838
-100,-100,120,-0.00462648,0.000134986,-1.29775E-06,4.06289E-09,-0.00641171,0.000246802,-2.70135E-06,8.9235E-09,89.5569,81.6988,39.9914
-100,-100,150,-0.00404555,0.000101874,-8.17474E-07,0.000000002,-0.00372735,0.000117179,-1.00521E-06,2.55993E-09,105.825,57.507,37.2276
-100,-100,180,0.00257921,-4.18225E-05,0.000000224,-3.96994E-10,-0.00346904,0.000108152,-9.12129E-07,2.27642E-09,181.468,51.4455,37.3966
-100,-100,210,-0.0031013,5.75335E-05,-2.94213E-07,6.01935E-10,-2.85048E-05,1.35659E-06,-1.96892E-08,8.93388E-11,83.7974,116.082,0.104635
-100,-100,240,-0.00337004,0.000070156,-4.53645E-07,9.07888E-10,0.00366244,-8.47646E-05,0.000000657,-1.6169E-09,212,75.4826,43.6617
-100,-100,270,0.00272249,-4.72712E-05,2.83588E-07,-6.01872E-10,0.000406804,1.17739E-05,-2.43099E-07,8.83683E-10,149.511,64.9406,51.7017
-100,-100,300,0.00236898,-3.45082E-05,1.55248E-07,-2.35074E-10,-0.00307088,5.73175E-05,-3.1592E-07,5.60077E-10,168.834,0,197.694
-100,-100,330,-0.00353641,7.76216E-05,-5.3931E-07,1.16683E-09,-0.00171399,5.64095E-05,-4.60174E-07,1.07343E-09,104.573,0.937416,135.194
-95,-100,0,-0.00336108,7.07694E-05,-4.87758E-07,1.11438E-09,-0.00494776,0.000146668,-1.23626E-06,3.14486E-09,204,36.8514,6.38383
-95,-100,30,-0.00285105,5.02067E-05,-2.50565E-07,3.76855E-10,-0.000950274,2.38902E-05,-1.41171E-07,2.34661E-10,98.1882,12.9216,188.191
-95,-100,60,-0.00314927,0.000070679,-4.87296E-07,0.000000001,-0.00187832,2.57715E-05,-1.53112E-07,3.32957E-10,88.7061,82.0715,214.654
-95,-100,90,-0.00321104,7.53511E-05,-5.57664E-07,1.27751E-09,-0.00177625,0.00002252,-1.23778E-07,2.74361E-10,132.235,32.8416,189.117
-95,-100,120,-0.00271924,5.24686E-05,-3.10254E-07,5.63397E-10,-0.00346964,7.21252E-05,-4.26323E-07,7.60515E-10,157.929,0,60.4393
-95,-100,150,-0.00382083,9.00853E-05,-6.60651E-07,1.50017E-09,0.00193585,-4.58959E-05,4.22789E-07,-1.25446E-09,189.429,93.1043,41.8393
-95,-100,180,-0.00408643,0.000104127,-8.49196E-07,2.16436E-09,-0.000144827,-2.46966E-05,3.54178E-07,-1.14749E-09,91.0451,66.9086,34.5818
-95,-100,210,-0.00311397,6.15993E-05,-3.6375E-07,6.56374E-10,-2.77886E-17,4.76051E-19,-2.5545E-21,4.33664E-24,96.6536,100.633,0
-95,-100,240,-0.00337757,7.06353E-05,-4.63264E-07,0.000000001,0.00263009,-7.87681E-05,6.16474E-07,-1.41061E-09,170.865,8.23458,18.2195
-95,-100,270,-0.00292277,5.13904E-05,-2.58615E-07,3.98006E-10,-0.00167342,2.62755E-05,-1.51467E-07,2.81533E-10,168.501,64.2776,102
-95,-100,300,-0.00436836,0.000114329,-8.50824E-07,1.91092E-09,0.003898,-9.21601E-05,6.38328E-07,-1.36897E-09,84.8914,0,218.243
-95,-100,330,-0.00360082,8.20409E-05,-5.83337E-07,1.28487E-09,0.00223616,-7.12333E-05,5.71237E-07,-1.32357E-09,147.229,0,147.78
-90,-100,0,-0.00342412,0.000073477,-5.14825E-07,1.18935E-09,0.0018082,-1.22669E-05,-1.09494E-07,6.45627E-10,204,105.765,127.978
-90,-100,30,-0.00235703,3.95353E-05,-1.84929E-07,2.58955E-10,0.0024656,-3.66161E-05,1.54549E-07,-1.96843E-10,71.9531,17.8995,281.777
-90,-100,60,0.00279111,-4.86869E-05,2.76708E-07,-5.22588E-10,-0.00269665,7.58588E-05,-5.7224E-07,1.27098E-09,114.18,75.0114,149.186
-90,-100,90,0.00246122,-3.82704E-05,1.99753E-07,-3.56324E-10,0.00163002,-1.38943E-05,4.68074E-09,9.13684E-11,134.303,58.5775,250
-90,-100,120,-0.00242732,4.26716E-05,-2.18773E-07,3.39534E-10,-0.00293933,5.18236E-05,-2.59839E-07,3.93224E-10,114.382,36.0818,67.5539
-90,-100,150,-0.00399372,9.88899E-05,-7.73289E-07,1.88156E-09,-0.00311044,8.07802E-05,-5.73233E-07,1.20815E-09,113.436,35.2174,43.8872
-90,-100,180,-0.00227723,0.000031316,-1.23559E-07,1.41635E-10,0.00340005,-0.000069261,4.01182E-07,-7.01312E-10,296,19.8564,8.7858
-90,-100,210,0.00263665,-4.45616E-05,2.63192E-07,-5.52394E-10,4.16251E-19,-2.15655E-19,2.75697E-21,-8.50297E-24,167.546,95.0181,0
-90,-100,240,-0.00351629,7.62207E-05,-5.10086E-07,1.05278E-09,-0.00511391,0.000156684,-0.000001365,3.58906E-09,190.065,15.7812,66
-90,-100,270,-0.00318954,6.25247E-05,-3.76942E-07,7.01162E-10,7.72154E-05,5.43334E-06,-7.71314E-08,2.10035E-10,144.581,3.73463,53.6385
-90,-100,300,-0.00259417,4.46506E-05,-2.34868E-07,3.79734E-10,0.00161762,-3.78668E-05,2.2254E-07,-3.7757E-10,169.543,0,52.5765
-90,-100,330,-0.00308187,0.000059346,-3.70078E-07,7.74721E-10,0.00212903,-2.74683E-05,0.000000104,-1.27935E-10,185.681,0,138.741
-85,-100,0,-0.00386528,9.24664E-05,-6.92283E-07,1.64253E-09,-0.000380649,-2.53617E-05,3.78509E-07,-1.21138E-09,148.376,20.8967,112.066
-85,-100,30,0.00240976,-3.56383E-05,1.60851E-07,-2.23483E-10,-0.00193287,2.81448E-05,-1.13486E-07,1.36614E-10,104.307,23.9999,292.142
-85,-100,60,0.00270247,-4.57207E-05,2.53216E-07,-4.65982E-10,-0.00235213,6.66736E-05,-4.94686E-07,1.07202E-09,124,59.842,152.005
-85,-100,90,0.00232366,-0.000033134,1.45582E-07,-1.97501E-10,0.00156377,-1.42854E-05,3.17796E-08,-1.06175E-11,264,25.2855,171.436
-85,-100,120,-0.00279688,5.59825E-05,-3.44757E-07,6.52631E-10,-0.00361332,7.82224E-05,-4.81509E-07,8.94531E-10,150.616,0,58.7739
-85,-100,150,-0.00411468,0.000105174,-8.52122E-07,2.15485E-09,-0.00376317,0.000120127,-1.04565E-06,2.70141E-09,114.144,36.1071,37.6052
-85,-100,180,-0.00415512,0.000107427,-8.83514E-07,2.26608E-09,0.00374818,-9.94549E-05,8.74466E-07,-2.42198E-09,166.71,86.9291,56.1157
-85,-100,210,-0.00257152,2.93928E-05,0.000000153,-1.50884E-09,-0.00347669,6.25429E-05,1.22116E-07,-4.08264E-09,80.4093,106.588,2.03385
-85,-100,240,-0.00401493,0.000100948,-8.1707E-07,2.07464E-09,0.00279001,-0.000091914,8.09514E-07,-2.10733E-09,99.0623,49.622,35.8933
-85,-100,270,-0.00183339,2.94538E-05,-1.47504E-07,2.26519E-10,-0.00137367,9.83861E-06,-2.07981E-09,-4.8452E-11,285.632,118.702,204
-85,-100,300,-0.00306966,5.75666E-05,-3.2313E-07,5.55165E-10,0.000312574,8.37536E-06,-9.94364E-08,2.3122E-10,88.9234,0,123.447
-85,-100,330,-0.00175638,2.71575E-05,-1.29403E-07,1.88461E-10,-0.00272612,4.45256E-05,-2.06787E-07,2.89838E-10,222.071,0,93.0274
-80,-100,0,-0.00325681,6.34381E-05,-3.36738E-07,4.80927E-10,0.00368008,-0.000104016,1.24522E-06,-5.2937E-09,77.3113,71.5423,111.563
-80,-100,30,-0.00259545,5.67694E-05,-3.98442E-07,8.66047E-10,-0.00298262,5.32678E-05,-2.67196E-07,3.93971E-10,118.559,75.2613,78.6653
-80,-100,60,-0.00399413,9.56717E-05,-6.52918E-07,1.34546E-09,0.000387819,-3.07676E-05,2.93247E-07,-7.1504E-10,74.5981,38.2291,131.849
-80,-100,90,-0.0033248,6.90128E-05,-4.62104E-07,0.000000001,0.00269713,-4.99235E-05,3.67224E-07,-9.29605E-10,153.524,48.8602,192.174
-80,-100,120,-0.00450427,0.000125502,-0.000001099,0.000000003,-0.0021132,3.04693E-05,-1.79081E-07,4.36798E-10,121.363,21.6637,156.747
-80,-100,150,-0.00389612,9.34342E-05,-6.96333E-07,1.60656E-09,-0.00359604,8.97024E-05,-6.25855E-07,1.3089E-09,94.3464,43.2773,47.182
-80,-100,180,-0.00295459,5.41899E-05,-2.81518E-07,4.40644E-10,-0.00249108,4.62614E-05,-2.38204E-07,3.66399E-10,104.995,34.0405,47.7608
-80,-100,210,-0.00397533,9.82593E-05,-7.71911E-07,1.89079E-09,-2.48288E-16,6.51791E-18,-5.07661E-20,1.21735E-22,92.9722,85.9127,0
-80,-100,240,-0.0031584,6.07635E-05,-3.47894E-07,6.46593E-10,-0.00378767,9.17773E-05,-7.63372E-07,0.000000002,178.473,66.1585,66
-80,-100,270,-0.00404842,0.000102506,-8.46083E-07,2.23768E-09,0.00476275,-0.000155943,1.42972E-06,-3.93058E-09,105.237,40,38.562
-80,-100,300,0.00278504,-4.94573E-05,3.01893E-07,-6.4489E-10,-0.00313723,5.85206E-05,-2.95945E-07,4.00156E-10,191.608,0,162.698
-80,-100,330,0.00146676,-1.80644E-05,0.000000071,-8.64165E-11,0.00227942,-0.000031129,1.2088E-07,-1.41665E-10,282.742,0,126.715
-75,-100,0,-0.00306501,6.81175E-05,-4.75396E-07,0.000000001,0.00176217,-1.52005E-05,-0.000000017,2.15193E-10,114.149,105.564,218.65
-75,-100,30,-0.00261306,0.000052532,-3.25233E-07,6.17874E-10,-0.0011149,4.28567E-06,3.17037E-08,-1.112E-10,218,0,200.401
-75,-100,60,0.00261014,-4.22701E-05,2.18341E-07,-3.74278E-10,-0.00244014,6.46808E-05,-4.61484E-07,0.000000001,115.534,59.8195,156.155
-75,-100,90,-0.00414224,0.000105304,-8.24517E-07,0.000000002,-0.00209263,2.27403E-05,-5.91404E-09,-2.6623E-10,160,2.99745,123.537
