time,lat,lon,distance_from_start_km,segment_distance_km,wind_speed_mps,wind_dir_deg,headwind_mps,crosswind_mps,temperature_c,relative_humidity_pct,pressure_hpa,precipitation_mm,visibility_km,uv_index,air_quality_index,weather_factor,energy_wh_per_km,segment_energy_wh,cumulative_energy_wh,remaining_battery_wh,cruise_speed_mps,cruise_altitude_m,payload_g,battery_remaining_pct
2026-05-09T22:00:00,39.9598,116.352,0.0,0.0,3.1,28.0,0.0,0.0,18.5,65.0,1006.1,0.0,13.88,0.0,45.0,1.0,0.0,0.0,0.0,130.0,8.0,62.5,250.0,100.0
2026-05-09T22:01:00,39.96388916666667,116.350569375,0.4707143719334699,0.4707143719334699,3.1,28.0,2.268347449124506,2.112959973603463,18.5,65.0,1006.1,0.0,13.88,0.0,45.0,1.00858,42.220962703954015,20.044532981237253,20.044532981237253,109.95546701876275,8.0,62.5,250.0,84.58112847597134
2026-05-09T22:02:00,39.967978333333335,116.34913875000001,0.9414287438669398,0.4707143719334699,3.0521875,27.825940768051396,2.2396715058242984,2.0735766398074054,18.451180555555556,65.11111111111111,1006.0958333333333,0.0,13.894805555555555,0.0,45.06111111111111,1.008585,42.728268194945485,20.28547840041354,40.33001138165079,89.66998861834921,8.0,62.5,250.0,68.97691432180709
2026-05-09T22:03:00,39.9720675,116.347708125,1.4121431158004096,0.4707143719334698,3.0045833333333336,27.606439479262463,2.212543754258671,2.03277424777947,18.402222222222225,65.21944444444445,1006.0916666666667,0.0,13.909222222222223,0.0,45.120694444444446,1.0085899999999999,42.728268194945485,20.285578964463166,60.61559034611396,69.38440965388604,8.0,62.5,250.0,53.37262281068157
2026-05-09T22:04:00,39.97615666666667,116.3462775,1.8828574877338795,0.47071437193346993,2.9571875,27.340763833879237,2.186895627688607,1.990589215220635,18.353125000000002,65.325,1006.0875,0.0,13.92325,0.0,45.17875,1.0085950000000001,42.88901503365062,20.36199572369106,80.97758606980503,49.02241393019497,8.0,62.5,250.0,37.70954917707306
2026-05-09T22:05:00,39.980245833333335,116.344846875,2.353571859667349,0.4707143719334697,2.91,27.02808598718684,2.1626573048362934,1.9470524856403386,18.30388888888889,65.42777777777778,1006.0833333333334,0.0,13.936888888888888,0.0,45.235277777777775,1.0086,42.88901503365062,20.36209666606992,101.33968273587494,28.660317264125055,8.0,62.5,250.0,22.046397895480812
2026-05-09T22:06:00,39.984335,116.34341625,2.8242862316008193,0.47071437193346993,2.8630208333333336,26.667483074198515,2.1397573989808842,1.9021899394138473,18.254513888888887,65.52777777777779,1006.0791666666668,0.0,13.95013888888889,0.0,45.29027777777778,1.008605,41.79295152925934,19.84182516225685,121.1815078981318,8.818492101868202,8.0,62.5,250.0,6.783455462975541
2026-05-09T22:07:00,39.98842416666667,116.341985625,3.295000603534289,0.47071437193346993,2.81625,26.257938509490828,2.1181225942072635,1.856022828094712,18.205,65.625,1006.0749999999999,0.0,13.963,0.0,45.34375,1.00861,41.91860984721339,19.90158197559266,141.08308987372445,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:08:00,39.992513333333335,116.34055500000001,3.765714975467759,0.47071437193346993,2.7696875,25.798344243344047,2.0976772304375384,1.8085682416099618,18.155347222222222,65.71944444444445,1006.0708333333333,0.0,13.975472222222221,0.0,45.395694444444445,1.008615,41.91860984721339,19.901680634053193,160.98477050777763,0.0,8.0,62.5,250.0,0.0
2026-05-09T22:09:00,39.9966025,116.33912437500001,4.236429347401228,0.4707143719334695,2.723333333333333,25.28750419104665,2.0783428394316683,1.7598396194618284,18.105555555555554,65.8111111111111,1006.0666666666666,0.0,13.987555555555554,0.0,45.44611111111111,1.00862,41.91860984721339,19.901779292513705,180.88654980029133,0.0,8.0,62.5,250.0,0.0
