flight,route,date,speed_mps,payload_g,altitude_m,wind_speed_mps,wind_dir_deg,headwind_mps,crosswind_mps,heading_deg,distance_m,energy_wh,flight_time_s,energy_wh_per_km
8,R1,2019-05-06,4.0,0.0,25.0,2.9141848495514617,68.65716968496798,-0.7877338045667202,2.805699340716698,322.9744450332416,470.1976063828386,21.93369002325064,233.5,46.64781301628332
10,R1,2019-05-06,6.0,0.0,25.0,5.111713667365837,256.1290717757183,4.977914515772654,1.161887985476484,242.99096053388334,467.9541178572796,16.5286663279905,138.09,35.321125933614596
12,R1,2019-05-06,10.0,0.0,25.0,5.998580653282904,305.89140900855836,1.9915159244287925,-5.658341998915096,16.50132676523583,473.3706327838952,13.01160705414319,116.21,27.48714464524734
14,R1,2019-05-06,12.0,250.0,25.0,6.228248587351734,265.189565488114,4.286940325810295,-4.518099501869165,311.69340918554013,483.76071224835175,14.199480183135243,106.11,29.35228062886916
15,R1,2019-05-06,10.0,250.0,25.0,5.53214285581831,319.27214193471457,4.786965301632611,-2.773006992084041,349.35511978212475,472.07464562214193,14.239124632310583,113.2,30.16286675075506
16,R1,2019-05-06,8.0,250.0,25.0,5.378214286196799,226.42639739409552,3.9946534435179926,3.601101605681405,184.39235854137175,470.19716590897167,15.231555686626718,125.8,32.393975955132596
17,R1,2019-05-06,6.0,250.0,25.0,5.032758619347266,270.76146698053884,4.972248065388441,-0.7780800067185278,279.6552441762628,469.4927715866679,17.53797304889868,139.09,37.35515030322717
18,R1,2019-05-06,4.0,250.0,25.0,5.064933920221707,276.0031662367527,4.693798179356794,-1.9031064782820923,298.07332315403806,471.108733512009,23.29621604287279,170.2,49.449764747948464
20,R1,2019-05-06,8.0,250.0,50.0,4.849892922463713,322.01897655694296,4.680624373263675,1.2701247323682994,306.8369069074467,476.6211776763231,18.847806522410565,140.09,39.544626645210144
23,R1,2019-05-06,12.0,250.0,50.0,5.625943393428933,268.04166300845395,1.8534750562992013,-5.311861188109431,338.8061805204763,474.88368089780204,16.924245689048536,127.0,35.638718216326204
59,R1,2019-06-05,10.0,250.0,50.0,5.7589798056452235,347.82093989339467,4.001616670848156,-4.141607468292912,33.80581906678009,470.6965591447801,17.6057158935616,141.1,37.40353642174451
60,R1,2019-06-05,12.0,250.0,75.0,5.167896315737712,35.298758651303785,-0.8400674985249973,-5.099160610153143,134.65398870935917,471.8205696175427,19.222151869300365,150.41,40.7403854496675
68,R1,2019-06-05,12.0,250.0,100.0,4.710664339324499,42.974917950181805,1.795889431567728,4.354898353276097,335.38537443085454,478.54619030095586,22.74201781707524,171.49,47.523140457502905
76,R1,2019-06-11,4.0,750.0,25.0,3.9262022189015084,10.272717955183282,-3.428972423429534,1.9123838482550826,219.42171133207842,469.35237596618083,25.897092809868173,243.3,55.176226085055944
77,R1,2019-06-11,12.0,0.0,25.0,5.7623762443120725,34.16044830875643,-5.752300791696025,0.3406106029843897,217.54914272653943,471.67122732281825,13.390829837885516,136.3,28.390177441798137
78,R1,2019-06-11,6.0,0.0,50.0,5.71845663959485,19.231596129993193,5.478958482171746,-1.6376081001157459,35.872496588850936,473.2692879631238,19.080999791218446,188.5,40.317426624787025
79,R1,2019-06-11,10.0,0.0,50.0,5.664046022544543,356.60076147036096,0.70442062582371,5.620071968170585,273.744965963229,475.402155867169,15.011860635592987,156.21,31.57718249764819
80,R1,2019-06-11,12.0,0.0,50.0,5.723031335973214,43.91512166133742,2.497900102206831,-5.149134174978009,108.03660168674094,483.07904721123725,16.48724026778352,176.9,34.12948742646274
81,R1,2019-06-11,6.0,0.0,75.0,5.833919609012316,355.3675428992341,-5.707249736243351,-1.2090981980668998,163.40611487671595,475.4136205729396,20.815301002366486,179.0,43.78356046526633
82,R1,2019-06-11,8.0,0.0,75.0,6.137766842429078,12.408392798362627,1.5665069846015514,5.934495570747051,297.1952666569611,470.27773516084073,18.841216753291704,181.9,40.064020353521045
83,R1,2019-06-11,12.0,0.0,75.0,5.731486143358208,19.052632307750287,4.956221585921394,2.87850673140675,348.9051896355961,475.9031562877968,18.349172968146522,178.3,38.55652715412982
84,R1,2019-06-11,6.0,0.0,100.0,6.41034936243834,9.906691104852882,5.068894301779697,3.924141881468986,332.1610404366727,474.6698731593653,23.853130996121898,227.3,50.2520432513598
85,R1,2019-06-11,10.0,0.0,100.0,6.396301187525652,4.6261367870158665,2.9633647807126997,5.668433474777105,302.22597305054035,481.3166906910029,21.02216424576122,226.5,43.67636662585028
86,R1,2019-06-11,12.0,0.0,100.0,5.696551729060942,22.442423512656887,5.218366142466609,2.2845910804836334,358.79870871137865,480.42802395225294,19.900411228230222,182.69,41.42225314942913
87,R1,2019-06-11,4.0,250.0,100.0,5.910173557533753,349.1267486832794,5.308526638493735,2.5980177844990937,323.04940641201324,476.1582151902628,29.026543039196195,250.1,60.959870297728244
88,R1,2019-06-11,8.0,250.0,100.0,5.201022639206677,19.17909323644659,4.976510992676118,-1.5116133213603722,36.07523201436277,479.20966868568416,22.958414419509545,205.3,47.90891319550582
91,R1,2019-06-19,10.0,500.0,75.0,4.612405070423577,205.48793330175928,-4.567210263851974,-0.6441047581211476,17.460560450590833,476.8199346423527,21.901518597287836,177.39,45.932472629768434
92,R1,2019-06-19,12.0,500.0,75.0,5.185434417408817,236.76407801313601,-2.138220828996619,-4.724059883584556,351.11670612986717,481.2621105184454,21.814670232158722,175.81,45.32804423073864
93,R1,2019-06-19,6.0,500.0,50.0,4.710461288494176,230.52975686676044,-0.9726282083210556,-4.608952149760332,332.4460586255117,470.3279631031231,22.622492500361638,181.81,48.09939930235761
94,R1,2019-06-19,4.0,500.0,50.0,3.65462012959212,196.06688827537704,3.597891625635096,0.6414235276358153,185.958531668651,464.64623470560355,27.968340239957005,219.2,60.19276204331568
95,R1,2019-06-19,10.0,500.0,50.0,4.066979361505826,313.86721537172264,-1.915258412840968,3.587771779106948,195.77260029689307,472.0625843673322,19.067441610910503,159.7,40.39176635120336
96,R1,2019-06-19,6.0,500.0,75.0,4.188366884947667,206.18719438677536,1.339444065042536,3.9684136326180206,134.8380871461984,469.2129702248465,25.55374094878777,201.0,54.46085801196509
97,R1,2019-06-19,4.0,500.0,75.0,3.075776789798038,294.06108293120747,-1.1801814685860688,-2.840347612857686,46.62426059354317,469.5749341502244,31.366480717342217,236.39,66.79760446350313
98,R1,2019-06-19,12.0,500.0,25.0,4.592307692348752,176.91148812739766,-3.266722110872385,3.2276642625191028,41.566910093550746,471.1156738033207,14.885071171255376,130.5,31.59536393915336
99,R1,2019-06-19,8.0,500.0,75.0,3.8040816425060737,201.86073871060944,0.8348521121328875,3.7113419532183998,124.53818587928595,473.7571756191516,23.54348220232913,190.7,49.695251943277135
100,R1,2019-06-19,12.0,500.0,50.0,4.178598855055454,229.23086882357413,-3.076746674028143,2.8274225533739226,91.81279152606919,471.43620990915826,18.39610256721837,156.01,39.02140349118101
101,R1,2019-06-19,8.0,500.0,50.0,3.898360653619243,261.18661349502145,-0.523401810718596,-3.863064370447786,358.9025622665378,467.73489314488546,19.99318031563472,164.5,42.744684240270345
102,R1,2019-06-19,4.0,500.0,100.0,3.7238151693663677,208.6036299521864,-3.4060202147590464,-1.5052659938548436,4.760944676898873,462.27072758570023,34.01793983367575,252.5,73.58878207872068
105,R1,2019-06-19,6.0,500.0,100.0,3.7541638516853126,197.85750133936315,1.945601568020679,-3.210666716402713,256.64245355703645,467.95296062452314,28.957813226945888,221.1,61.88188912898257
106,R1,2019-06-19,10.0,500.0,100.0,4.039260976469636,153.6496578731152,-3.3126707725022535,-2.31124243406869,298.7462690682852,473.42463725121746,25.280630069750284,194.8,53.39948131245101
107,R1,2019-06-19,12.0,500.0,100.0,3.8265384538643636,160.59690984212125,-2.704994006373895,-2.7065483487985174,295.5804529334333,481.7164881754873,25.075173317867016,194.9,52.05379913990454
108,R1,2019-06-24,6.0,0.0,25.0,4.894967379907748,204.19141759282599,4.701587904649601,-1.3622689988447567,220.3501820057699,467.9504910491653,15.728913612697344,161.9,33.61234556551578
109,R1,2019-06-24,4.0,500.0,75.0,4.537256068904184,224.8319309227943,2.684519857352305,3.6578744880447998,171.10693503132052,468.2512342925704,30.981629750793275,253.9,66.16454476110465
110,R1,2019-06-24,4.0,0.0,75.0,3.4013513451950117,194.54993424486028,2.8776864604843113,1.813315088065279,162.33369581514057,465.85397673423176,25.51304337503535,245.8,54.7661813555591
111,R1,2019-06-24,12.0,250.0,25.0,4.495364240973069,233.99182901202204,2.29459579190796,3.8656344641957117,174.6847056033016,472.2744063881425,14.125943683960486,135.8,29.91045776118337
112,R1,2019-06-24,6.0,500.0,75.0,4.6520864374591415,221.69487067344056,2.3101171927820263,4.037978055562483,161.46863659400003,465.5109186808763,25.985321999076994,201.5,55.821079498439914
113,R1,2019-06-24,12.0,250.0,100.0,5.304583005915004,208.37576261935976,-0.0537412260236746,5.304310770238461,117.79528379389058,471.3027535150318,21.85345294297521,201.2,46.36818431462488
114,R1,2019-06-24,10.0,0.0,75.0,5.368707477336838,210.4980267792789,2.3418815226289764,4.831005165716703,146.36031179522598,472.28205255462956,18.886466172667046,176.92,39.989802852994124
115,R1,2019-06-24,8.0,500.0,25.0,5.675553328674324,211.612531821234,-5.223694214570072,-2.2192170554709967,8.594964829636353,473.1445179157687,17.39567319824691,148.8,36.76608845617813
116,R1,2019-06-24,12.0,0.0,25.0,5.843348120242159,229.36061639282707,1.586497549257135,5.62385479724883,155.1144522041277,469.41226803358643,14.042528040270449,134.9,29.915127908982786
117,R1,2019-06-24,10.0,0.0,50.0,5.688164021267807,222.12111764032596,-5.038409461200207,-2.6400075822114206,14.467640677395423,477.3962560540982,15.932734042062929,161.0,33.37423333344584
118,R1,2019-06-24,4.0,250.0,100.0,5.797417849022458,229.38479594570694,-0.7136204570449728,5.7533294325504345,132.31416464278385,470.1497321092547,30.543460115639576,256.2,64.96538874671059
119,R1,2019-06-24,8.0,0.0,50.0,4.277119281523584,227.7907450174473,-3.810408077844315,1.9428174460508674,74.80647114211627,472.55491653238136,17.027740248318207,199.5,36.033357505341705
120,R1,2019-06-25,10.0,250.0,25.0,5.26590661541129,217.47699976498603,-3.2046784229391427,4.178493590731076,89.99074618686194,468.8303879693075,13.759992119987963,138.4,29.349616563013353
121,R1,2019-06-25,6.0,0.0,50.0,5.208032780641415,280.74279064504606,-4.954251705694292,1.6059251168285378,118.70293881291474,467.05918307194855,18.269310071222225,183.1,39.11562117473218
122,R1,2019-06-25,10.0,500.0,75.0,5.044969903889752,301.8671115975429,-4.421689865971239,-2.4290697932172765,93.08477461874446,481.88153952116687,21.3328927543641,174.4,44.269993773909746
123,R1,2019-06-25,6.0,250.0,100.0,6.05658263274852,282.9496392217705,-6.054923776260841,0.14174361002229832,104.29066809202214,475.7445797840433,26.35533287833084,215.1,55.39807282784898
124,R1,2019-06-25,8.0,0.0,25.0,4.841465868467248,339.2841394670713,2.8560374182084196,-3.9093275663887144,33.13339621209741,475.2104393855044,14.389542510606558,149.8,30.28035859063556
125,R1,2019-06-25,4.0,250.0,75.0,5.312409718056807,266.28122969152867,-5.147579995404388,-1.3130564357318997,71.97125152879357,467.44635456224415,27.606640677869354,231.61,59.058414743061846
126,R1,2019-06-25,4.0,500.0,100.0,6.103141375635862,275.7471844404732,-4.045483594673269,4.569726155496394,144.22938573879617,481.09917643850326,36.225650275518255,262.51,75.2976767569853
127,R1,2019-06-25,8.0,250.0,50.0,4.961418043513325,307.0209409297961,-4.654493897982214,-1.7179509760601206,106.76208351158556,473.16605196732485,19.381997429444876,163.6,40.962358455046825
128,R1,2019-06-25,8.0,0.0,100.0,5.920909763831079,287.1262684872594,-5.920907177423881,0.005534235320468062,107.17982248242458,476.04589353959364,21.748186387413806,205.3,45.68506247518963
129,R1,2019-06-25,12.0,500.0,75.0,6.670192316150627,229.2087601484627,-6.317400851767997,2.1405401216786037,67.9268058522095,481.5959754926798,24.779988950430152,188.3,51.453895404918725
130,R1,2019-06-25,10.0,500.0,50.0,5.585645466511764,260.8557595732122,-4.54535420253834,3.2464119348952716,116.39118668855798,473.46000158400915,19.433643804814306,155.6,41.046009673039016
131,R1,2019-06-25,4.0,0.0,100.0,5.831995133790946,277.85437112543326,-5.330782079309282,2.36536036651422,121.78206175432888,472.1026212654441,27.51420845820435,250.21,58.2801433816531
134,R1,2019-06-29,12.0,500.0,50.0,4.563221595751284,202.4725692937343,0.12945425377395184,4.561384979160466,114.09821413281844,463.62103338988584,18.17619541106542,160.69,39.20485504759229
135,R1,2019-06-29,4.0,250.0,25.0,3.8673796828599993,164.59916530629562,2.135922392919407,-3.224044221598665,221.07477732519638,456.7367407447569,23.60553855552156,196.3,51.68302974056842
136,R1,2019-06-29,8.0,250.0,25.0,3.7567202078268274,72.33772929141833,-1.410032125015788,3.4820620508999984,320.29265155525036,461.6546594909986,15.657140847953613,177.2,33.91526658740222
137,R1,2019-06-29,8.0,250.0,100.0,5.524030421906551,274.57792174290614,-3.9525181079554175,3.859081847853657,138.8926270402112,470.80120895192545,24.514536085672784,197.4,52.06982399269076
138,R1,2019-06-29,8.0,500.0,100.0,6.346676628121339,305.75134792869324,0.27137144691875953,-6.3408723185172935,33.30074564647134,476.9875886168511,26.78663664284527,200.9,56.15793216028965
139,R1,2019-06-29,12.0,0.0,50.0,6.177320568641407,237.3426565583563,0.43521403894086297,6.1619703137932245,151.3826934369103,467.0610013884129,16.485542939058927,156.7,35.29633793027685
140,R1,2019-06-29,4.0,500.0,25.0,4.745681813539881,245.94105352179707,2.8863943289389127,-3.7669913264079145,298.4805142100444,457.48536827075094,25.50672381123102,199.2,55.75418489916714
141,R1,2019-06-29,12.0,0.0,75.0,5.370902159702141,346.10639632597935,4.7253947260142874,-2.5528875205244517,14.486466024188928,482.071148624183,19.8162356642298,237.6,41.10645434970493
142,R1,2019-07-01,8.0,250.0,75.0,4.168354435309076,169.41713257212575,-3.891293114754969,-1.4943281411461857,328.4094245708659,468.1230142768537,21.295592306155967,177.5,45.49144489093948
143,R1,2019-07-01,12.0,0.0,75.0,4.733392862416804,187.89177701546578,-3.670219482284889,-2.9890628868986324,328.73206653411125,471.1862267886912,17.607915048504044,167.9,37.36933307348246
144,R1,2019-07-01,8.0,500.0,50.0,4.27547495713094,123.81685406776711,-3.808185648697628,1.9435555495295833,330.8549206284955,467.4041231106896,19.971353373114468,173.5,42.7282353441818
145,R1,2019-07-01,6.0,500.0,100.0,4.073061231204441,173.0626987442722,-3.6026819426082133,1.9001343672344202,20.870857385652926,468.5842619412905,28.564471333841237,220.4,60.959092427692575
146,R1,2019-07-01,10.0,0.0,25.0,4.1444991710542265,111.45538438299428,-3.149004397553587,2.694558346567642,332.00851873641585,465.67363129757825,13.112932871206164,182.5,28.159062463269773
147,R1,2019-07-01,6.0,250.0,75.0,3.509208106588483,217.65910511658532,-0.47080490431541827,-3.477482462560937,315.36931195285456,466.6390331362044,23.98078849629447,244.2,51.39044699095042
148,R1,2019-07-01,4.0,0.0,50.0,2.809077452682602,127.27686813843872,-2.806725744516724,-0.11492053879449526,304.9322193908076,467.6973159274883,22.862702761629965,304.2,48.88354494036607
149,R1,2019-07-03,10.0,250.0,75.0,4.4229706355687455,173.49261227355282,-4.36472690729191,-0.7154217412585286,344.1840432563384,469.6864352487854,20.480249949437397,173.81,43.604090755972834
150,R1,2019-07-03,12.0,0.0,100.0,4.578024693403715,225.66038132424896,-2.724692372483882,-3.6789076597194352,352.1849684451072,470.19763762561456,19.517114419512687,182.1,41.50832087985265
151,R1,2019-07-03,12.0,250.0,50.0,4.684984984579268,174.77069246011683,-3.011608356602453,-3.588774082075309,304.7732158367523,466.64587953136333,17.427478609879522,149.71,37.34626056782361
152,R1,2019-07-03,10.0,500.0,100.0,4.068217053865046,355.0582553925974,4.019557079833673,0.6273363366786525,346.1876074302057,475.2302516273289,25.74997528035633,193.39,54.184209006435935
153,R1,2019-07-03,10.0,250.0,100.0,4.151471756297914,321.9298952258641,-4.114461560684187,0.5531037958571021,149.58622177831182,473.79514665918157,22.54540144025267,188.29,47.584703218731825
154,R1,2019-07-03,6.0,250.0,50.0,3.9090677997444647,355.0214648188825,3.8152388551516143,-0.851330453549283,7.600345174791073,463.7773692001048,21.38179794974462,176.7,46.1035819548993
155,R1,2019-07-03,12.0,500.0,100.0,4.984952231928421,8.866026095892607,2.390271581812485,4.374511460699102,307.5186069701423,476.2820963385784,25.22038491810889,188.2,52.952620121543006
156,R1,2019-07-03,4.0,500.0,50.0,3.799378016383053,28.15843308378294,0.23820767590208689,3.791903270722521,301.75303510507007,465.00412416620964,28.994061257341592,217.1,62.35226689511693
