2,0,1,0.023719,0.087692
2,0,1,0.023796,1.09983
2,0,1,0.02385,0.196608
2,0,1,0.017284,0.05694
2,0,1,0.021155,0.067591
2,0,1,0.020032,0.058741
2,0,1,0.023501,6.06301
2,0,1,0.022284,1.09948
2,0,1,0.021849,0.933294
2,0,1,0.017141,0.1732
2,0,1,0.022483,0.088678
2,0,1,0.017395,0.432316
2,0,1,0.022369,0.295686
2,0,1,0.018404,0.107394
2,0,1,0.019378,5.49783
2,0,1,0.018554,0.340439
2,0,1,0.017606,0.311644
2,0,1,0.017695,0.356966
2,0,1,0.021228,0.57864
2,0,1,0.021528,0.720107
2,0,1,0.024156,0.428929
2,0,1,0.020115,0.714833
2,0,1,0.017894,0.140722
2,0,1,0.025319,0.183619
2,0,1,0.01832,4.2708
2,0,1,0.023752,0.225722
2,0,1,0.024691,0.814169
2,0,1,0.023846,0.154213
2,0,1,0.02345,0.155881
2,0,1,0.018864,0.178213
2,0,1,0.024383,0.197466
2,0,1,0.02521,0.16448
2,0,1,0.022388,0.321115
2,0,1,0.024576,0.863263
2,0,1,0.025059,0.60469
2,0,1,0.023651,0.447858
2,0,1,0.021179,1.84156
2,0,1,0.024156,0.100581
2,0,1,0.023852,0.369967
2,0,1,0.025826,0.847162
2,0,1,0.024813,0.232886
2,0,1,0.021152,0.117309
2,0,1,0.017912,0.158181
2,0,1,0.020474,0.135814
2,0,1,0.02096,0.102384
2,0,1,0.025246,0.410203
2,0,1,0.020815,0.169606
2,0,1,0.02566,0.126479
2,0,1,0.02584,0.275541
2,0,1,0.025205,0.623956
2,0,1,0.019282,0.17028
2,0,1,0.024407,0.085821
2,0,1,0.024965,0.435848
2,0,1,0.024536,1.43608
2,0,1,0.02498,0.179863
2,0,1,0.025828,0.442907
2,0,1,0.024914,0.175525
2,0,1,0.01909,1.17307
2,0,1,0.024979,0.077732
2,0,1,0.024643,0.462996
2,0,1,0.025056,1.18596
2,0,1,0.021005,0.284404
2,0,1,0.025631,0.063488
2,0,1,0.018464,0.269565
2,0,1,0.019364,0.319147
2,0,1,0.018313,0.981992
2,0,1,0.024594,0.069922
2,0,1,0.025026,0.28266
2,0,1,0.021517,0.128564
2,0,1,0.026879,0.790637
2,0,1,0.024743,4.16854
2,0,1,0.026005,0.447752
2,0,1,0.023614,2.20529
2,0,1,0.026391,0.695657
2,0,1,0.02098,0.548845
2,0,1,0.021106,0.074972
2,0,1,0.022305,0.339711
2,0,1,0.025167,1.45131
2,0,1,0.017609,0.089812
2,0,1,0.020779,0.803789
2,0,1,0.02312,0.580347
2,0,1,0.023649,0.599515
2,0,1,0.023104,0.184745
2,0,1,0.024645,0.100469
2,0,1,0.025812,0.682315
2,0,1,0.025903,4.17896
2,0,1,0.021423,0.189483
2,0,1,0.020642,0.130844
2,0,1,0.025348,0.847538
2,0,1,0.020041,0.432237
2,0,1,0.024497,0.75812
2,0,1,0.023128,5.90085
2,0,1,0.023456,0.659196
2,0,1,0.019572,0.238337
2,0,1,0.020838,0.170193
2,0,1,0.025364,0.503664
2,0,1,0.021422,0.063159
2,0,1,0.024238,0.933552
2,0,1,0.025655,0.118729
2,0,1,0.018116,0.101998
1.99726,0.104672,1,0.021108,0.268191
1.99726,0.104672,1,0.018352,0.164186
1.99726,0.104672,1,0.023729,0.325015
1.99726,0.104672,1,0.022684,2.13209
1.99726,0.104672,1,0.025865,0.228784
1.99726,0.104672,1,0.024348,0.58285
1.99726,0.104672,1,0.021708,0.088373
1.99726,0.104672,1,0.020405,0.198519
1.99726,0.104672,0,0.018996,3.6694
1.99726,0.104672,1,0.023435,0.618601
1.99726,0.104672,1,0.025638,0.662682
1.99726,0.104672,1,0.024144,0.341544
1.99726,0.104672,1,0.026298,0.521154
1.99726,0.104672,1,0.023139,0.089423
1.99726,0.104672,1,0.017709,0.196266
1.99726,0.104672,1,0.022498,0.507549
1.99726,0.104672,1,0.020264,0.13896
1.99726,0.104672,1,0.017531,0.978585
1.99726,0.104672,1,0.020354,10.7309
1.99726,0.104672,1,0.023852,0.234845
1.99726,0.104672,1,0.025141,0.757787
1.99726,0.104672,1,0.020441,0.784208
1.99726,0.104672,1,0.025795,0.262189
1.99726,0.104672,1,0.023313,0.635265
1.99726,0.104672,1,0.022982,0.545881
1.99726,0.104672,1,0.025408,0.36527
1.99726,0.104672,1,0.024392,0.55064
1.99726,0.104672,1,0.023038,0.621155
1.99726,0.104672,1,0.0195,0.751563
1.99726,0.104672,1,0.024943,1.21744
1.99726,0.104672,1,0.023171,0.815187
1.99726,0.104672,1,0.01917,0.09614
1.99726,0.104672,1,0.019625,0.403121
