subregion,Medium duty e-truck,Small electric van,Electric cargo bicycle,Quad-copter drone
AKGD,742.4942905802543,326.0875161953511,22.38526793749479,16.67812100385373
AKMS,838.0823247819148,367.6209751455934,24.920030505781632,18.72448764973773
AZNM,767.0378896703035,336.75182762105936,23.03610459068139,17.203554997421023
CAMX,592.2365229760262,260.79979608616566,18.400796783772442,13.461374404989787
ERCT,732.3693250063334,321.6881701312832,22.116778435055352,16.46136383320741
FRCC,594.3785638371246,261.73052310568454,18.457598506287198,13.507231619325056
HIMS,851.9876162165406,373.662890912715,25.288765070980965,19.02217474865936
HIOA,954.6378186991215,418.26489582527415,28.010799194320967,21.21972962368098
MROE,893.5064936992226,391.7030421511967,26.389744889211833,19.91101870036005
MROW,981.7208074696578,430.0325842367532,28.728974295903882,21.799527349973314
NEWE,533.2903768272688,235.18741309501232,16.837688115929996,12.199444202222576
NWPP,905.6488792741197,396.97896687383576,26.711731471549363,20.170965178488387
NYCW,573.7844873909465,252.78229819616303,17.91149360372081,13.066349750645388
NYLI,713.3723128137196,313.43387729359796,21.61302379863779,16.054672216970143
NYUP,530.2098450272498,233.8489072649721,16.755999892479014,12.133495597046277
PRMS,912.8442960131706,400.1054099297811,26.902536452169556,20.32500601572294
RFCE,702.0624904466381,308.5197052746744,21.31311477101231,15.812549408857551
RFCM,940.5158786922841,412.12884521527457,27.636319635034226,20.917404471306785
RFCW,981.5583210404986,429.9619831045946,28.724665550338315,21.79604880988388
RMPA,904.1932117656929,396.34647236538194,26.67313070375402,20.13980197420638
SPNO,1059.0600339504379,463.63684877792286,30.779822793637024,23.45522008191975
SPSO,837.1304131349827,367.20736497312447,24.894788120255953,18.704108945850997
SRMV,655.0823434246047,288.1066062491263,20.06731534518842,14.806789569903298
SRMW,1009.0885069744738,441.9239808267052,29.45469923484948,22.385420217307313
SRSO,751.9932759875619,330.21487087712046,22.637157965867473,16.88147707315257
SRTV,837.1850545890363,367.2311069467707,24.896237078941716,18.705278720394343
SRVC,746.2587991779426,327.7232132218226,22.485093564845627,16.758712313182265
US,782.4865625264408,343.4643500122245,23.44576588367162,17.53428309660212
