Vehicle Class,Energy Consumption [MJ/km],Fuel GHG emissions [g/km],Upstream GHG emissions [g/km],Battery GHG emissions [g/km],Energy consumption [MJ/package],GHG emission [g/package]
Medium duty diesel truck,11.0,762.8499999999999,168.74,0.0,5.238095238095239,443.61428571428576
Small diesel vans,4.9,339.815,75.16600000000001,0.0,1.4080459770114944,119.24741379310345
Medium duty e-truck,3.804083616917841,674.3148465227201,83.68983957219251,24.48187643152824,1.8114683890084962,372.61264882211475
Small electric van,1.6528925619834711,292.99303235492,36.36363636363637,14.107681293668149,0.4749691270067446,98.69665230236336
Electric cargo bicycle,0.1008750607681088,17.881192415778187,2.2192513368983935,3.345322130995036,0.1008750607681088,23.44576588367162
Quad-copter drone,0.0814385387965139,14.435859281689364,1.7916478535233058,1.3067759613894503,0.3257541551860556,70.13713238640848
