QGC WPL 110
0	0	0	16	0	0	0	0	53.0133691	20.9297981	117.6	1
1	0	3	22	0	0	0	0	53.0134197	20.9298186	10	1
2	0	3	16	0	0	0	0	53.0133301	20.9297986	30	1
3	0	3	16	0	0	0	0	53.0130016	20.9304357	30	1
4	0	3	16	0	0	0	0	53.011033	20.9307896	30	1
5	0	3	16	0	0	0	0	53.0110072	20.930264	30	1
6	0	3	16	0	0	0	0	53.0130147	20.9299098	30	1
7	0	3	16	0	0	0	0	53.0129953	20.9294379	30	1
8	0	3	16	0	0	0	0	53.0110072	20.9298563	30	1
9	0	3	16	0	0	0	0	53.0110072	20.9293413	30	1
10	0	3	16	0	0	0	0	53.0129566	20.9289336	30	1
11	0	3	16	0	0	0	0	53.012963	20.9285581	30	1
12	0	3	16	0	0	0	0	53.0110072	20.9289765	30	1
13	0	3	16	0	0	0	0	53.0110072	20.9286547	30	1
14	0	3	16	0	0	0	0	53.0129501	20.9282255	30	1
15	0	3	16	0	0	0	0	53.012963	20.9279358	30	1
16	0	3	16	0	0	0	0	53.0110201	20.9282899	30	1
17	0	3	16	0	0	0	0	53.011033	20.9279788	30	1
18	0	3	16	0	0	0	0	53.0129759	20.9276569	30	1
19	0	3	16	0	0	0	0	53.0129566	20.9273672	30	1
20	0	3	16	0	0	0	0	53.0110782	20.9276354	30	1
21	0	3	16	0	0	0	0	53.0110845	20.927335	30	1
22	0	3	16	0	0	0	0	53.0129694	20.9270453	30	1
23	0	3	16	0	0	0	0	53.0129759	20.9267449	30	1
24	0	3	16	0	0	0	0	53.0110717	20.9269702	30	1
25	0	3	16	0	0	0	0	53.0110911	20.9266806	30	1
26	0	3	16	0	0	0	0	53.0129791	20.9264982	30	1
27	0	3	16	0	0	0	0	53.0129662	20.9262085	30	1
28	0	3	16	0	0	0	0	53.011104	20.9263694	30	1
29	0	3	16	0	0	0	0	53.0110911	20.9310687	30	1
30	0	3	16	0	0	0	0	53.0113945	20.9310579	30	1
31	0	3	16	0	0	0	0	53.0114203	20.9262621	30	1
32	0	3	16	0	0	0	0	53.011643	20.9262675	30	1
33	0	3	16	0	0	0	0	53.0116268	20.931031	30	1
34	0	3	16	0	0	0	0	53.0118237	20.931015	30	1
35	0	3	16	0	0	0	0	53.0118494	20.9262621	30	1
36	0	3	16	0	0	0	0	53.0120497	20.92623	30	1
37	0	3	16	0	0	0	0	53.0120303	20.931015	30	1
38	0	3	16	0	0	0	0	53.0122691	20.9309989	30	1
39	0	3	16	0	0	0	0	53.0123014	20.9262191	30	1
40	0	3	16	0	0	0	0	53.0125435	20.9262139	30	1
41	0	3	16	0	0	0	0	53.0125112	20.9309721	30	1
42	0	3	16	0	0	0	0	53.0127177	20.9309614	30	1
43	0	3	16	0	0	0	0	53.0127274	20.9262085	30	1
44	0	3	16	0	0	0	0	53.0128985	20.9261978	30	1
45	0	3	16	0	0	0	0	53.0129146	20.9309238	30	1
46	0	3	16	0	0	0	0	53.013289	20.929922	30	1
47	0	0	20	0	0	0	0	0	0	0	1
