sample_id,ok,fp32_gpu_mae_db,fp32_gpu_ms_avg,fp32_gpu_ms_max,fp32_gpu_ms_min,fp32_gpu_rmse_db,int8_gpu_mae_db,int8_gpu_ms_avg,int8_gpu_ms_max,int8_gpu_ms_min,int8_gpu_rmse_db,int8_gpu_vs_fp32_mae_db,int8_gpu_vs_fp32_max_abs_db,int8_gpu_vs_fp32_rmse_db
166_k0,True,1.4915146827697754,305.17722500371747,305.17722500371747,305.17722500371747,2.461911931958122,1.4971541166305542,312.4177659919951,312.4177659919951,312.4177659919951,2.4814431026468418,0.11691561341285706,1.1761932373046875,0.14856372773647308
166_k1,True,2.664663314819336,304.773367010057,304.773367010057,304.773367010057,3.6955527616627797,2.630095958709717,276.7777440021746,276.7777440021746,276.7777440021746,3.664086966036387,0.132405087351799,1.9207077026367188,0.17781366407871246
373_k0,True,3.0558643341064453,327.90630098315887,327.90630098315887,327.90630098315887,4.367342105101028,3.0390357971191406,286.1555250128731,286.1555250128731,286.1555250128731,4.353711677884229,0.11661321669816971,1.6986083984375,0.1638304889202118
373_k1,True,3.192147731781006,321.7791130009573,321.7791130009573,321.7791130009573,4.4912649783047405,3.1978704929351807,279.1566309751943,279.1566309751943,279.1566309751943,4.510555180044532,0.10669536888599396,1.4765090942382812,0.14226271212100983
464_k0,True,3.3498036861419678,317.07855602144264,317.07855602144264,317.07855602144264,5.251162082487336,3.4349889755249023,317.0680940093007,317.0680940093007,317.0680940093007,5.37158378446391,0.18749405443668365,1.2575225830078125,0.24264492094516754
464_k1,True,2.978053092956543,293.503808992682,293.503808992682,293.503808992682,4.605441001957333,3.07033371925354,260.46852400759235,260.46852400759235,260.46852400759235,4.731278921061602,0.16559715569019318,1.4139404296875,0.2051052302122116
666_k0,True,0.7295938730239868,291.14377198857255,291.14377198857255,291.14377198857255,1.5470066207221305,0.7384716868400574,306.4519180043135,306.4519180043135,306.4519180043135,1.5541758246403412,0.07238037139177322,0.8367919921875,0.0958535447716713
666_k1,True,0.9136823415756226,307.5018670060672,307.5018670060672,307.5018670060672,1.8563836662897262,0.9264324903488159,280.68284899927676,280.68284899927676,280.68284899927676,1.8623529516966206,0.10245116055011749,1.0291671752929688,0.13347971439361572
660_k0,True,1.4422708749771118,320.7986310007982,320.7986310007982,320.7986310007982,2.7508566995818815,1.4134767055511475,279.63542100042105,279.63542100042105,279.63542100042105,2.7120138444631534,0.09521547704935074,1.5124740600585938,0.15655426681041718
660_k1,True,1.4049047231674194,292.9772819916252,292.9772819916252,292.9772819916252,2.510969794872192,1.4062663316726685,288.10357698239386,288.10357698239386,288.10357698239386,2.485393675201907,0.10999218374490738,2.227264404296875,0.16047677397727966
103_k0,True,1.1168594360351562,285.0166750140488,285.0166750140488,285.0166750140488,2.2902471712143053,1.1290878057479858,294.21079700114205,294.21079700114205,294.21079700114205,2.308521353527223,0.1049371212720871,1.3873519897460938,0.13546863198280334
103_k1,True,1.3562768697738647,297.45907499454916,297.45907499454916,297.45907499454916,2.58425830360799,1.390271544456482,316.52703299187124,316.52703299187124,316.52703299187124,2.65139776110365,0.1283411979675293,1.2324981689453125,0.16324172914028168
683_k0,True,0.7951061129570007,312.43883300339803,312.43883300339803,312.43883300339803,1.8648323304841892,0.7945178151130676,293.8141409831587,293.8141409831587,293.8141409831587,1.8489427664374583,0.08036766946315765,0.9009170532226562,0.11388994753360748
683_k1,True,2.2393648624420166,301.84529500547796,301.84529500547796,301.84529500547796,3.137783758090513,2.196519136428833,285.1193329843227,285.1193329843227,285.1193329843227,3.078664974350407,0.1951824128627777,1.43896484375,0.22699271142482758
81_k0,True,1.796049952507019,308.96907098940574,308.96907098940574,308.96907098940574,3.2530421177752267,1.7867118120193481,304.18089000158943,304.18089000158943,304.18089000158943,3.2672319610795926,0.09697667509317398,1.6047592163085938,0.1254979372024536
81_k1,True,2.402296543121338,293.175915023312,293.175915023312,293.175915023312,3.708854010100331,2.4474034309387207,289.1807930136565,289.1807930136565,289.1807930136565,3.7776768723893075,0.1651749163866043,1.7330169677734375,0.20363980531692505
296_k0,True,3.427854299545288,294.8922050127294,294.8922050127294,294.8922050127294,4.974613017457933,3.5787110328674316,281.67764900717884,281.67764900717884,281.67764900717884,5.135340423740201,0.2729848027229309,1.550018310546875,0.3436061143875122
296_k1,True,3.193971872329712,290.80380097730085,290.80380097730085,290.80380097730085,4.748434310665987,3.1882169246673584,293.1104759918526,293.1104759918526,293.1104759918526,4.735850290007102,0.3803768455982208,2.909210205078125,0.49826422333717346
233_k0,True,1.3109276294708252,299.25076200743206,299.25076200743206,299.25076200743206,2.3571121783551368,1.2921743392944336,300.37967301905155,300.37967301905155,300.37967301905155,2.3479275919522693,0.05677418410778046,1.0635833740234375,0.07524147629737854
233_k1,True,1.6635090112686157,290.2441099868156,290.2441099868156,290.2441099868156,3.130229541539574,1.6393532752990723,276.1689420149196,276.1689420149196,276.1689420149196,3.1043396630607845,0.10314501076936722,1.1324005126953125,0.16848990321159363
